Tiempo,Datos
0.0388917512922366,2008
0.039057955357588,2022
0.0392241594229395,1975
0.0393903634882909,1934
0.0395565675536424,1951
0.0397227716189938,1992
0.0398889756843452,2010
0.0400551797496967,1983
0.0402213838150481,1939
0.0403875878803996,1970
0.040553791945751,2031
0.0407199960111024,2042
0.0408862000764539,1989
0.0410524041418053,1923
0.0412186082071567,1939
0.0413848122725082,2004
0.0415510163378596,2042
0.0417172204032111,2013
0.0418834244685625,1956
0.0420496285339139,1953
0.0422158325992654,1985
0.0423820366646168,1995
0.0425482407299683,1964
0.0427144447953197,1938
0.0428806488606711,1978
0.0430468529260226,2036
0.043213056991374,2036
0.0433792610567254,1988
0.0435454651220769,1947
0.0437116691874283,1960
0.0438778732527798,2014
0.0440440773181312,2023
0.0442102813834826,1985
0.0443764854488341,1941
